Sample,Cohort,Period,Signature,Mean,Lower,Upper
fc8130df-6860-7677-e040-11ac0d485ddc,PCAWG,Late,SBS3,1160.1226519241688,906.7810268348418,1447.170805066969
fc8130e0-0f1a-b6eb-e040-11ac0c48328f,PCAWG,Late,SBS1,42.666432765710304,24.98010463570413,63.6687722694953
fc8130e0-0f1a-b6eb-e040-11ac0c48328f,PCAWG,Late,SBS3,604.5027948539293,436.0976396575476,794.7734446239435
fc8130df-8ec8-5b1e-e040-11ac0d485e06,PCAWG,Late,SBS1,35.39295004846379,0.0,58.40978416741349
fc8130df-8ec8-5b1e-e040-11ac0d485e06,PCAWG,Late,SBS3,1126.608397724142,901.0134990039352,1419.7724008458347
fc8130df-90ba-5d94-e040-11ac0d485e0c,PCAWG,Late,SBS1,60.496685676584214,37.039724089160394,84.01006250312834
fc8130df-90ba-5d94-e040-11ac0d485e0c,PCAWG,Late,SBS3,1099.4896240669252,842.2015698777809,1287.6857651577473
fc813235-5ed8-7695-e040-11ac0d485e3e,PCAWG,Late,SBS1,52.417947282304766,32.198203346494246,72.74891080108965
fc813235-5ed8-7695-e040-11ac0d485e3e,PCAWG,Late,SBS3,776.0522400582398,602.5236478496225,1067.0896693402028
fc9f6916-da31-ab17-e040-11ac0c4808f3,PCAWG,Late,SBS1,53.02842706993754,33.234056835212726,73.31000160314392
fc9f6916-da31-ab17-e040-11ac0c4808f3,PCAWG,Late,SBS3,973.6169783149456,749.3218108098697,1184.5930670047594
fc9f6cb0-ceb9-790d-e040-11ac0c480ad1,PCAWG,Late,SBS1,38.59657244354607,25.352997076211995,55.14991759037968
fc9f6cb0-ceb9-790d-e040-11ac0c480ad1,PCAWG,Late,SBS3,432.95858185588224,294.3434654677934,563.1484647931476
fc8130e3-01ba-c740-e040-11ac0c483291,PCAWG,Late,SBS1,47.35896581186076,28.619514472778757,67.74877783727501
fc8130e3-01ba-c740-e040-11ac0c483291,PCAWG,Late,SBS3,902.054440332601,720.5671889045146,1208.01312675598
fc63cbab-d27a-5ebb-e040-11ac0c48724f,PCAWG,Late,SBS1,26.89164416560004,14.443487917682432,40.59604700174048
fc63cbab-d27a-5ebb-e040-11ac0c48724f,PCAWG,Late,SBS3,575.7761256256185,434.07355211073946,660.0558314600617
fca6150f-d555-a29e-e040-11ac0d4873b2,PCAWG,Late,SBS1,108.36467435204959,85.74087579715639,127.47496913458433
fca6150f-d555-a29e-e040-11ac0d4873b2,PCAWG,Late,SBS3,163.5174474309182,0.0,276.86645952891973
a85cf239-ff51-46e7-9b88-4c2cb49c66b9,PCAWG,Late,SBS1,35.137756185832714,19.581757847221684,50.65347018140559
a85cf239-ff51-46e7-9b88-4c2cb49c66b9,PCAWG,Late,SBS3,970.9225403857054,774.8649081014754,1174.4340258614359
b752b444-f033-4be4-9d24-e5e80b4181af,PCAWG,Late,SBS1,14.586736532092392,0.0,26.2211027624073
b752b444-f033-4be4-9d24-e5e80b4181af,PCAWG,Late,SBS3,346.3247191941747,215.41223916427103,468.62540996644714
71fda5a9-7049-406f-9348-2c24f7ddf5f4,PCAWG,Late,SBS1,51.29635122372092,34.16374116566682,70.48920180856418
71fda5a9-7049-406f-9348-2c24f7ddf5f4,PCAWG,Late,SBS3,1185.7350517659343,1036.1712557369756,1320.997315393443
