ID,HRDTime,HRDTime_ci,WGDTime,WGDTime_ci,WGDTime_CpG,WGDTime_CpG_err,pi2SBS1,pi2SBS1_ci,pi2SBS3,pi2SBS3_ci,pi1SBS1,pi1SBS1_ci,pi1SBS3,pi1SBS3_ci,c,c21,Nt_SBS1,Nt_SBS3,N_mut(C>TpG),N_mut_all
PD31127a,0.20707751141014769,0.08536067857606,0.5334919995730373,0.06702712725989401,0.5264452147327736,0.05854873654548415,"[0.3022580261189839, 0.23743481731106528, 0.3907202561291021]","[0.029978869634926037, 0.026628282933529968, 0.05841141082344858]","[0.24770445479353828, 0.1641814719458366, 0.23218797587602644]","[0.007454977924706048, 0.005544079032451102, 0.010622654904169469]","[0.6977419738810181, 0.7625651826889396, 0.6092797438708984]","[0.02997886963492624, 0.026628282933530145, 0.05841141082344868]","[0.7522955452064691, 0.8358185280541661, 0.7678120241239735]","[0.0074549779247060945, 0.00554407903245124, 0.010622654904169495]","[0.06841943342381722, 0, 0.04323031668191619]",0.06155695891177175,"[117.1305674221292, 126.91811955796098, 33.11208262292661]","[1588.2099873664583, 1567.9887085334212, 606.9134193898867]","[144.0, 159.0, 39.0]","[2535.0, 2603.0, 948.0]"
PD31128a,0.3817405330286986,0.1369012777809463,0.8686511383901981,0.0557991406065923,0.8267065184818706,0.050738412784845366,"[0.7245647337513041, 0.4354941297088246, 0.7421703826211586]","[0.03503266088809014, 0.03495778391609656, 0.04584923860700514]","[0.5920189547375744, 0.39045897501042776, 0.5973207702338081]","[0.011041990330573534, 0.00955876975084291, 0.01249605441304712]","[0.2754352662486988, 0.5645058702911756, 0.2578296173788436]","[0.035032660888090116, 0.03495778391609675, 0.04584923860700517]","[0.4079810452624254, 0.6095410249895735, 0.40267922976619147]","[0.011041990330573518, 0.00955876975084293, 0.012496054413047273]","[0.05001513298998679, 0, 0.04765406779005739]",0.04909915279943882,"[78.78181707816762, 89.31608549059106, 49.78102078762108]","[1062.8855872684155, 1184.2437192440716, 668.3563199872832]","[100.0, 119.0, 61.0]","[1701.0, 2206.0, 1066.0]"
PD31129a,0.2254654606266335,0.27067040751677657,0.7157164586435759,0.11887793732737789,0.6670277733061316,0.12547547412351145,"[0.6543059128472527, 0.3351365392292247, 0.3104821057774448]","[0.07901717536685511, 0.04671771192118064, 0.10816566224362903]","[0.36924114304828876, 0.2616816542131913, 0.3542802527694364]","[0.022388985942041226, 0.010582298816381936, 0.03004168102448198]","[0.34569408715274746, 0.6648634607707791, 0.6895178942225555]","[0.07901717536685499, 0.04671771192118063, 0.10816566224362908]","[0.6307588569517116, 0.7383183457868137, 0.6457197472305635]","[0.022388985942041265, 0.010582298816381976, 0.03004168102448201]","[0.0390443902254374, 0, 0.057618656739677664]",0.045454049857626716,"[21.068378262607567, 46.22150777476103, 8.289840183731327]","[294.1825559967992, 956.6386613712978, 155.2021022573526]","[24.0, 62.0, 9.0]","[426.0, 1522.0, 224.0]"
PD31145a,0.49146799410749864,0.09096658604915794,0.719529261620869,0.06053430927070369,0.6228306295042458,0.06257237610242111,"[0.550860444996969, 0.3728646687277897, 0.46213469403237256]","[0.03573482468810194, 0.05605431928333199, 0.05097297898142889]","[0.2518944878104908, 0.1739251140275255, 0.233222481210366]","[0.006996607636141183, 0.0083073475396467, 0.01180664775942397]","[0.44913955500302366, 0.6271353312722205, 0.5378653059676326]","[0.035734824688102025, 0.056054319283331905, 0.05097297898142895]","[0.7481055121894914, 0.8260748859724734, 0.7667775187896311]","[0.006996607636141229, 0.008307347539647025, 0.011806647759424303]","[0.03304767227629708, 0, 0.05161837733396066]",0.037315581441042314,"[98.55417767694024, 37.9577372576301, 39.670129013615046]","[1791.7674451811008, 824.3701539871964, 540.3121589774217]","[136.0, 72.0, 58.0]","[4648.0, 2271.0, 1391.0]"
PD31147a,0.3986293016088102,0.1288225946511661,0.9338839922253814,0.03112552252745926,0.8982727728051405,0.030731450469598298,"[0.8289628557122384, 0.5574249919303501, 0.8362613154722581]","[0.024522393209763765, 0.05283968881061095, 0.018056120558524718]","[0.7188507162908134, 0.39874404379035866, 0.7417604450298676]","[0.01190342945706732, 0.01351896979610217, 0.008396457768214077]","[0.17103714428776048, 0.44257500806965, 0.16373868452775228]","[0.024522393209763273, 0.05283968881061073, 0.01805612055852442]","[0.2811492837091869, 0.601255956209641, 0.25823955497013323]","[0.011903429457067185, 0.013518969796102103, 0.008396457768214254]","[0.09447180935582314, 0, 0.09348178882179813]",0.09382764589899545,"[63.612276215724485, 32.34485945398418, 111.57881391536098]","[409.33051678808494, 309.1611497884375, 757.9928047858696]","[81.0, 42.0, 131.0]","[1359.0, 905.0, 2422.0]"
PD31155a,0.562279466331372,0.1343084333031443,0.9621998314232653,0.04766689357985282,0.9566621695378962,0.04213085320231008,"[0.8909430778281964, 0.49693901256114204, 0.9042343387660131]","[0.022957292705005246, 0.04425581123077095, 0.02335229541727768]","[0.7751364067657402, 0.4336179238588302, 0.8104198830246048]","[0.010119330201355393, 0.010026048222229477, 0.009693225847611682]","[0.10905692217180622, 0.5030609874388645, 0.095765661233988]","[0.022957292705005246, 0.044255811230770686, 0.023352295417277468]","[0.22486359323426014, 0.5663820761411705, 0.18958011697539806]","[0.010119330201355345, 0.010026048222229408, 0.009693225847611448]","[0.026501127913569067, 0, 0.029498583985135007]",0.027670960409821276,"[56.77442964807331, 53.70955332223623, 37.97603012687394]","[1039.4875488234802, 828.1689840379919, 652.8269893896136]","[102.0, 91.0, 72.0]","[2625.0, 2170.0, 1695.0]"
PD31159a,0.3785782181524083,0.07013275930968355,0.494074800540099,0.06847340949603614,0.4785081351679829,0.06163900589296245,"[0.3710812338428552, 0.19709264224659884, 0.30458237525205367]","[0.06412426886315024, 0.026632518450229486, 0.031633899062110137]","[0.10509403040114455, 0.07124641950050432, 0.10861840894279293]","[0.011455804708901165, 0.004343915503156958, 0.005488432875427602]","[0.628918766157145, 0.8029073577534004, 0.695417624747943]","[0.06412426886315015, 0.026632518450229462, 0.031633899062109935]","[0.8949059695988553, 0.9287535804994945, 0.8913815910572089]","[0.011455804708901196, 0.004343915503156944, 0.0054884328754275236]","[0.1521944236637754, 0, 0.14037405278452586]",0.1429262475266242,"[31.561767873195304, 109.61230997010215, 100.71907334534822]","[146.22086142412272, 380.14596259660175, 560.3740143116763]","[35.0, 125.0, 108.0]","[300.0, 1224.0, 1094.0]"
PD31158a,0.3093870137003074,0.09127007433354764,0.611421452899954,0.06489141943238885,0.5846975618011053,0.07088441438549842,"[0.421967404243382, 0.27683614879753543, 0.4169120030643593]","[0.051938969761962314, 0.042356119181918964, 0.03336957596142036]","[0.26607078488298724, 0.15701879459725346, 0.2807323035141653]","[0.00972591898592282, 0.007081470184395713, 0.007421619110816034]","[0.5780325957566199, 0.7231638512024631, 0.5830879969356432]","[0.05193896976196237, 0.04235611918191885, 0.033369575961420594]","[0.7339292151170114, 0.8429812054027466, 0.7192676964858304]","[0.009725918985922788, 0.007081470184395873, 0.0074216191108160395]","[0.049428634024612075, 0, 0.040353781940550275]",0.04376755525932118,"[35.096690788131255, 37.43640916386844, 46.5559928076972]","[559.7957639709323, 574.401484334723, 935.7438554622433]","[50.0, 54.0, 66.0]","[1150.0, 1143.0, 1913.0]"
PD31167a,0.48418907355412116,0.11545232911976622,0.8351214072487179,0.04214937509324396,0.8233788986505882,0.041986506715785965,"[0.678439079148076, 0.3949927933605732, 0.7167132010150954]","[0.04927975102024802, 0.046990750092239235, 0.027826915383839197]","[0.5144891603115116, 0.2942992445769944, 0.490339563899606]","[0.016431135104588216, 0.018267298565923334, 0.01089942177534249]","[0.3215609208519241, 0.6050072066394273, 0.28328679898490555]","[0.04927975102024779, 0.046990750092239304, 0.027826915383839166]","[0.48551083968848746, 0.7057007554230053, 0.5096604361003892]","[0.01643113510458817, 0.018267298565923407, 0.010899421775342493]","[0.10319893642771572, 0, 0.08159164732726171]",0.08910145163796898,"[67.13326219164156, 47.759855837602636, 121.76314225528932]","[431.43538307139175, 270.62911705315616, 830.9749955746212]","[76.0, 55.0, 145.0]","[901.0, 606.0, 1690.0]"
PD31169a,0.3912339175408942,0.112419473312073,0.785385856939798,0.059606504396926774,0.7507900427229381,0.05533168584372539,"[0.6087036096895132, 0.37452559088029325, 0.6346027664839583]","[0.04084306267792256, 0.03524791296150706, 0.04338495870366556]","[0.42009996004112066, 0.2806201552218316, 0.4699149289079868]","[0.012155153437630918, 0.008323913049793758, 0.012604798335170433]","[0.391296390310486, 0.6254744091197091, 0.3653972335160423]","[0.0408430626779228, 0.03524791296150696, 0.043384958703665766]","[0.5799000399588796, 0.7193798447781716, 0.5300850710920129]","[0.012155153437630893, 0.00832391304979379, 0.012604798335170479]","[0.0670024866698399, 0, 0.0613384159508376]",0.06451374433805239,"[72.66956392477009, 108.96502865748873, 51.19574996831177]","[731.391438363923, 1163.5522928858707, 575.3198717894355]","[86.0, 128.0, 60.0]","[1394.0, 2364.0, 1097.0]"
PD31171a,0.8886130988484731,0.09883615191292155,0.8995317934795825,0.12609848960092368,0.8525282245788668,0.1364273901877056,"[0.9887065054636013, 0.3881735921377913, 0.9972883162379449]","[0.0033394637500907052, 0.060766986699790866, 0.003986343720754602]","[0.7376755991198481, 0.35125865401863293, 0.6435548129942404]","[0.01722284997424802, 0.016862644319926633, 0.0565345544815562]","[0.011293494536399204, 0.6118264078622101, 0.002711683762055132]","[0.0033394637500906957, 0.060766986699790915, 0.003986343720754576]","[0.2623244008801527, 0.648741345981366, 0.3564451870057597]","[0.017222849974248042, 0.016862644319926567, 0.05653455448155624]","[0.0014945348644691964, 0, 0.00018236504757450912]",0.0013499026118198052,"[10.25054857657946, 24.073221213221597, 1.495240684831703]","[288.42087012388396, 345.99821808478225, 32.99382912392698]","[20.0, 37.0, 5.0]","[625.0, 794.0, 78.0]"
PD35926a,0.525970854285502,0.11917071143669042,0.9045611646787401,0.0471194536827349,0.8531770822730113,0.05777639578333238,"[0.7501989034008781, 0.4853640532775113, 0.66894284215592]","[0.04229543930803904, 0.032666272044885244, 0.04134143092145275]","[0.492319708423242, 0.30811655155613865, 0.4657348514315366]","[0.012735900494825664, 0.006628045353437578, 0.010761675072534317]","[0.24980109659912134, 0.514635946722483, 0.3310571578440809]","[0.04229543930803901, 0.032666272044885335, 0.04134143092145263]","[0.5076802915767564, 0.69188344844386, 0.5342651485684597]","[0.012735900494825632, 0.006628045353437567, 0.010761675072534428]","[0.03017456400109986, 0, 0.029346047130111373]",0.029669305492485237,"[33.761246866853995, 67.46194774719959, 39.87544690591062]","[550.8224191762441, 1582.5304378778021, 843.9928670470437]","[49.0, 116.0, 55.0]","[1122.0, 3546.0, 1678.0]"
PD31178a,0.2523524986567731,0.2564838964904257,0.6595921210726107,0.1671567738567111,0.627533409568799,0.15967393193940946,"[0.558699530838635, 0.2432373415155206, 0.5101089175659458]","[0.08284529925239924, 0.09269797146121078, 0.11793247055583149]","[0.4404107496101012, 0.3940884663595976, 0.3234302030353393]","[0.02276460031675896, 0.02806202039936657, 0.02711778575877787]","[0.44130046916136595, 0.7567626584844797, 0.4898910824340545]","[0.0828452992523993, 0.0926979714612108, 0.11793247055583156]","[0.559589250389899, 0.6059115336404028, 0.6765697969646616]","[0.02276460031675908, 0.02806202039936662, 0.027117785758777862]","[0.038396277241246786, 0, 0.03577373987363899]",0.03747254711927389,"[16.192506949537034, 14.37817413841739, 8.207190033466338]","[333.2112853941004, 153.04161822983423, 166.66246029396166]","[22.0, 20.0, 12.0]","[550.0, 389.0, 281.0]"
PD35929a,0.46914918090789415,0.1367244464553018,0.6835786900374223,0.08872020615012893,0.5952972443910284,0.09272550905780463,"[0.5391786539827738, 0.33406769650347284, 0.45759777148273323]","[0.06902417920947791, 0.06613450637765164, 0.05241967574987525]","[0.20443591134733605, 0.15916892056201834, 0.2131037561155253]","[0.010989355709337206, 0.009810678922764575, 0.009739771258744244]","[0.46082134601722885, 0.6659323034965285, 0.5424022285172704]","[0.06902417920947773, 0.06613450637765156, 0.052419675749875196]","[0.795564088652665, 0.8408310794379824, 0.7868962438844753]","[0.010989355709337126, 0.009810678922764621, 0.009739771258744334]","[0.026253753986984672, 0, 0.031782984280981336]",0.029604138167989135,"[25.172194458308148, 23.896144240844436, 38.94195539585596]","[555.5715793893369, 611.107592233242, 843.9779065219595]","[33.0, 40.0, 52.0]","[860.0, 1212.0, 1322.0]"
PD35930a,0.3899104543128946,0.17017085679120209,0.8934290999720272,0.05319603907531728,0.83418343578302,0.05479600174295318,"[0.751099685145395, 0.46140240499578566, 0.8139311496961228]","[0.037216471216796033, 0.05042464456745256, 0.034581761718078335]","[0.6860089471963875, 0.3653807667194047, 0.6511454074462132]","[0.011136615893057289, 0.01433610190191902, 0.012823086481915017]","[0.2489003148546068, 0.5385975950042146, 0.18606885030387674]","[0.037216471216796165, 0.05042464456745238, 0.03458176171807842]","[0.3139910528036097, 0.6346192332805956, 0.3488545925537821]","[0.011136615893057266, 0.014336101901918839, 0.012823086481915064]","[0.05497990359777203, 0, 0.047999564971098925]",0.0522648005831819,"[69.30020081842325, 49.84397635083523, 57.40354980940967]","[1000.4161374157095, 483.89686373653257, 639.1313015948114]","[99.0, 71.0, 79.0]","[2498.0, 1180.0, 1591.0]"
PD35933a,0.41090817970911864,0.10309972223769776,0.6790051759617124,0.06304084610006233,0.641020124342258,0.06883946928218654,"[0.5215439749069956, 0.049576772788913474, nan]","[0.03264763504866262, 0.08028890413712776, nan]","[0.3028999692053606, 0.4522105831115234, nan]","[0.011343741822797902, 0.17218550867710322, nan]","[0.4784560250930045, 0.9504232272110866, nan]","[0.03264763504866257, 0.08028890413712776, nan]","[0.697100030794639, 0.5477894168884767, nan]","[0.011343741822797872, 0.17218550867710325, nan]","[0.08823209169249197, 0, nan]",nan,"[119.8562354316999, 2.3236241160514486, 0.0]","[932.4141267211832, 5.841226494404464, 0.0]","[138.0, 2.0, 0.0]","[1807.0, 13.0, 0.0]"
PD35935a,0.40507403656452223,0.10113233635917146,0.4233863051956676,0.09539568481372673,0.36112649671381986,0.09632035863082553,"[0.36625187553558475, 0.12931583665258436, 0.4823328628129161]","[0.08225501643224954, 0.029851679145831547, 0.08277174492397701]","[0.05287490100882604, 0.040717730705282784, 0.09750849196308124]","[0.004682712670802572, 0.0031972950142832002, 0.009483673741716329]","[0.6337481244644155, 0.8706841633474157, 0.5176671371870847]","[0.08225501643224944, 0.029851679145831672, 0.0827717449239767]","[0.9471250989911746, 0.95928226929472, 0.9024915080369196]","[0.004682712670802616, 0.003197295014283288, 0.009483673741716213]","[0.0349568510484432, 0, 0.02425793252422335]",0.03130004855128002,"[21.05313216995704, 72.69394978697557, 8.758257096188721]","[400.56898408689796, 657.6847685103277, 204.8147080296868]","[37.0, 92.0, 14.0]","[965.0, 1620.0, 498.0]"
PD35939a,0.40919939133111055,0.08571154146488433,0.6250830191956338,0.06656589892622672,0.5923824863589865,0.06392873286042483,"[0.4134239981089698, 0.26725247299670984, 0.49518351719452897]","[0.03822186241324538, 0.03741713873083952, 0.0433317664447769]","[0.20037620483770138, 0.15350236930633807, 0.25424370944556307]","[0.006148290063389368, 0.0055463506875501395, 0.007380385931588113]","[0.5865760018910334, 0.732747527003283, 0.5048164828054744]","[0.03822186241324525, 0.03741713873083984, 0.0433317664447772]","[0.7996237951622992, 0.8464976306936695, 0.7457562905544367]","[0.0061482900633893865, 0.005546350687550231, 0.007380385931588185]","[0.03201020819566107, 0, 0.031996506928810155]",0.03200666683815629,"[57.920845077179266, 53.47819418407782, 43.41566394095289]","[1329.0160462829567, 903.981624715358, 918.3650340791471]","[89.0, 92.0, 59.0]","[2999.0, 2539.0, 2025.0]"
PD35941a,0.3130901253585952,0.20349135274068955,0.9522242358047507,0.03850135258102422,0.9527204962361929,0.03728484276646066,"[0.8585106589123942, 0.546766834887012, 0.8606614678903455]","[0.034061070339708684, 0.054280779208825986, 0.02330274222153305]","[0.8188574338322706, 0.4359135658449846, 0.8111020795135565]","[0.011736863001222687, 0.02173035137388251, 0.009976725432063014]","[0.1414893410876074, 0.453233165112988, 0.13933853210965486]","[0.03406107033970884, 0.05428077920882601, 0.023302742221533126]","[0.181142566167727, 0.5640864341550159, 0.18889792048644125]","[0.011736863001222654, 0.021730351373882396, 0.009976725432062954]","[0.07447993434428783, 0, 0.09659853111525937]",0.08568134410970413,"[41.60537809780009, 28.35676963411098, 57.30824169219863]","[437.9085199010353, 163.6389704485773, 438.2643894189173]","[47.0, 33.0, 66.0]","[845.0, 320.0, 863.0]"
