ID,HRDTime,HRDTime_ci,WGDTime,WGDTime_ci,WGDTime_CpG,WGDTime_CpG_err,pi2SBS1,pi2SBS1_ci,pi2SBS3,pi2SBS3_ci,pi1SBS1,pi1SBS1_ci,pi1SBS3,pi1SBS3_ci,c,c21,Nt_SBS1,Nt_SBS3,N_mut(C>TpG),N_mut_all
6fffe0cf-bb38-4e77-88ab-a256bd7fbbce,0.3075268298467018,0.07670683060600317,0.6907840882194491,0.05375109412459167,0.6473234559928005,0.05003994873130768,"[0.5320917947457473, 0.28918105091968554, 0.5675732876091989]","[0.030285519057097733, 0.02957258817071076, 0.02909103156584464]","[0.3683372871755071, 0.20569441832086163, 0.4279128480692965]","[0.00933087733123284, 0.006142737819200918, 0.0071623436886010805]","[0.4679082052542527, 0.7108189490803082, 0.4324267123908016]","[0.030285519057097483, 0.029572588170710755, 0.029091031565844923]","[0.6316627128244958, 0.7943055816791391, 0.5720871519307081]","[0.009330877331232907, 0.0061427378192007755, 0.007162343688601271]","[0.07927827712790803, 0, 0.05256356465997659]",0.06331999219238661,"[77.44733460569726, 89.85654936152143, 75.83639836219005]","[723.8186033255865, 1152.6523684001022, 1090.2296845033927]","[128.0, 127.0, 118.0]","[2400.0, 2955.0, 3564.0]"
d8c2b4b2-e12b-43d2-bafc-87b29f027797,0.16295657687342158,0.09192738266522812,0.31906187592553686,0.07235742749102622,0.27604839060191744,0.06738563191923769,"[0.22631332073196078, 0.14382957056744977, 0.06834347254763894]","[0.03718352863041581, 0.0318536710012332, 0.02405827910053588]","[0.05679563058610592, 0.058301720893905756, 0.10584705307824419]","[0.004301817415453533, 0.004609924789378226, 0.007243178355588865]","[0.7736866792680368, 0.8561704294325501, 0.9316565274523628]","[0.03718352863041596, 0.031853671001233284, 0.024058279100535714]","[0.9432043694138923, 0.9416982791060959, 0.8941529469217544]","[0.004301817415453539, 0.004609924789378376, 0.007243178355588854]","[0.048120566125477236, 0, 0.0439901114012644]",0.04644552925008133,"[78.2248835588509, 58.05206512158898, 38.19488157788175]","[1333.698205895549, 1452.408078994442, 906.1941785130304]","[114.0, 96.0, 54.0]","[2260.0, 2503.0, 1537.0]"
f26b1f44-12de-43ba-85bb-bc61741a5a88,0.08880248487292057,0.10380697057519259,0.3446901728488726,0.08511076701369366,0.31187882778678166,0.07515277322287452,"[0.16959420918412668, 0.1491868100641226, 0.15674579069746297]","[0.052110963241443764, 0.029419762927867247, 0.030027620999210032]","[0.10691446212163758, 0.0815308655991804, 0.12212236924530778]","[0.009429244540047354, 0.004713748531260642, 0.009518694371871094]","[0.8304057908158743, 0.8508131899358807, 0.8432542093025384]","[0.05211096324144367, 0.0294197629278674, 0.0300276209992101]","[0.8930855378783628, 0.918469134400819, 0.8778776307546934]","[0.009429244540047338, 0.004713748531260646, 0.009518694371871129]","[0.08112907509951775, 0, 0.09607364107061453]",0.08980760694464855,"[30.852951497920504, 72.65962724439505, 47.6543586197614]","[353.35522795935293, 1121.258371609089, 477.04744420091913]","[39.0, 110.0, 57.0]","[750.0, 2484.0, 1044.0]"
da43386c-47f8-4e03-b6ca-8b94e13792e7,0.2277324817133772,0.07041496108668044,0.45369317314578084,0.05814365860933546,0.4256372549279992,0.06192093718045957,"[0.30996068233476753, 0.17544919176080667, 0.2774331687596198]","[0.04303240378921248, 0.021719848949991016, 0.03424295004120019]","[0.1708653563923677, 0.12858055482526282, 0.16465207138058993]","[0.009458916409616998, 0.00533895984149887, 0.007465284190315051]","[0.6900393176652355, 0.8245508082391954, 0.7225668312403826]","[0.043032403789212435, 0.021719848949990957, 0.03424295004120011]","[0.8291346436076332, 0.8714194451747346, 0.8353479286194121]","[0.009458916409617012, 0.005338959841498794, 0.007465284190315132]","[0.0776908431850098, 0, 0.07935835605209726]",0.07857193166438728,"[84.18864787268289, 192.2042078110882, 96.52853398763953]","[902.2671434512121, 1647.029947506166, 1052.6295004909462]","[98.0, 226.0, 113.0]","[1614.0, 3458.0, 1851.0]"
f858d813-f3c5-4ad9-8c20-9f231d6624d8,0.2335133187369113,0.04868695730658222,0.27061929273893687,0.04980023357273887,0.2563646012889195,0.056288235114936025,"[0.12884100026649087, 0.10081121286801771, 0.1756216619564265]","[0.02681308815196758, 0.021245951179718656, 0.026408140140103235]","[0.021074427180844072, 0.018467969992833764, 0.02693300477922932]","[0.001728405955449297, 0.0016842733272749593, 0.0022347177427443276]","[0.8711589997335122, 0.8991887871319821, 0.8243783380435761]","[0.026813088151967316, 0.02124595117971841, 0.02640814014010289]","[0.9789255728191566, 0.9815320300071662, 0.9730669952207706]","[0.001728405955449202, 0.0016842733272749008, 0.00223471774274426]","[0.09755212700550193, 0, 0.0970683226685229]",0.09730677224377826,"[86.06870654522073, 97.63278335707379, 85.99205419402325]","[785.7120282143255, 515.5678276644171, 750.8640404192992]","[111.0, 125.0, 106.0]","[1540.0, 1659.0, 1467.0]"
8888e808-594b-4c76-b2e4-62aa56736f7c,0.5576468256066339,0.08351259815867812,0.8279299070756728,0.04208468326737652,0.7855288008938694,0.0437099150620579,"[0.6655289542756004, 0.41185605728032715, 0.7176726552592563]","[0.040045567038663285, 0.04908238178235942, 0.025207132432659537]","[0.386997890515465, 0.27019511244003724, 0.41028261583209485]","[0.010722271172745343, 0.007571808218384435, 0.0061187461125623175]","[0.3344710457244001, 0.5881439427196749, 0.2823273447407407]","[0.04004556703866329, 0.049082381782359887, 0.025207132432659762]","[0.6130021094845403, 0.7298048875599651, 0.5897173841679062]","[0.01072227117274546, 0.0075718082183844175, 0.006118746112562637]","[0.03149662287519468, 0, 0.02460125521076451]",0.026696805271258093,"[66.64123953830008, 44.670070753488886, 135.37266447917133]","[1154.174535501501, 1155.6708372370329, 2633.1199331399544]","[96.0, 72.0, 192.0]","[2173.0, 2451.0, 4982.0]"
9e6806c4-d331-4025-abee-2f576e3bf182,0.4035296639938197,0.10858011004521834,0.8959188044087122,0.025010806773672456,0.8948714191114496,0.02353317842285041,"[0.8400886924323427, 0.36140784896333167, 0.8195568603857498]","[0.03150791230314524, 0.05608542294394956, 0.015634134593759685]","[0.6985967940853282, 0.3819077571671666, 0.7231591500267693]","[0.009455979234021087, 0.014498651666811977, 0.004454578161863639]","[0.1599113075676571, 0.6385921510366672, 0.1804431396142264]","[0.03150791230314468, 0.056085422943949574, 0.01563413459375951]","[0.3014032059146704, 0.618092242832831, 0.27684084997324865]","[0.00945597923402117, 0.01449865166681188, 0.004454578161863608]","[0.03174022330044095, 0, 0.03903772206023587]",0.037605872252900865,"[74.53438926769199, 37.795066094852494, 302.7717588960578]","[1243.1641312088748, 505.89398140162876, 5055.63286883689]","[107.0, 52.0, 418.0]","[2378.0, 1025.0, 9730.0]"
123c9d1c-72ba-4d82-8e57-d5caa52a40ba,0.5554769629346541,0.08121166506349706,0.911025293992848,0.03833983430381871,0.881942764277402,0.03369873277372276,"[0.8706723669519892, 0.4404413081595246, 0.8210152738625767]","[0.03086786093154073, 0.040795645431751265, 0.015853547098898454]","[0.6533408214705609, 0.32664689615182607, 0.6644092738102496]","[0.018251593086679837, 0.014591672772368666, 0.00922524166328441]","[0.12932763304801004, 0.5595586918404732, 0.17898472613742963]","[0.030867860931540567, 0.04079564543175109, 0.01585354709889862]","[0.34665917852944245, 0.6733531038481755, 0.33559072618975433]","[0.01825159308667974, 0.014591672772368468, 0.009225241663284306]","[0.10085505101076483, 0, 0.13017097101509661]",0.1232263550540582,"[73.70584320886707, 85.31261118103761, 216.12445126064245]","[272.90587842793923, 337.50759563291604, 885.6613642973624]","[82.0, 98.0, 253.0]","[915.0, 985.0, 2954.0]"
1dc9e7fd-fc62-4b32-9619-4e02a266a385,0.10141956003213683,0.04792444849586612,0.12126374101741184,0.04738917897043911,0.13164767991199647,0.051288326288810755,"[0.03271550526738415, 0.06666007982158448, 0.04391262140201275]","[0.01827045625765234, 0.021288918665401817, 0.012259456585677484]","[0.000843422388122681, 0.006923183465127084, 0.007778301121452411]","[0.00047292950298778133, 0.0014819197944452183, 0.0009249476183174616]","[0.9672844947326166, 0.9333399201784159, 0.9560873785979882]","[0.018270456257652216, 0.021288918665402, 0.012259456585677377]","[0.999156577611878, 0.9930768165348731, 0.9922216988785447]","[0.00047292950298775065, 0.001481919794445265, 0.0009249476183175921]","[0.11120114587434372, 0, 0.15637444755635257]",0.143182818049505,"[39.84517462115645, 79.3478286169054, 131.40469483134024]","[347.3725154510264, 707.2268555286146, 810.3438620324902]","[44.0, 102.0, 154.0]","[784.0, 1543.0, 1900.0]"
ff3fe4a3-7d19-4d4d-81b6-aaa41ba5bf39,0.4955923452872861,0.07128310341664937,0.6922544859273557,0.05591388035236461,0.6446381609022411,0.056071108941119496,"[0.45843366654038425, 0.23160094005087578, 0.5844611649780088]","[0.07308953521377927, 0.04700994348098875, 0.026464470824580824]","[0.22066517926510898, 0.1519359195141236, 0.25459101175365456]","[0.018924625659954435, 0.0090154178064988, 0.007112434290987068]","[0.5415663334596158, 0.7683990599491244, 0.41553883502199507]","[0.0730895352137791, 0.04700994348098865, 0.0264644708245807]","[0.7793348207348909, 0.8480640804858777, 0.7454089882463429]","[0.01892462565995447, 0.009015417806498796, 0.007112434290986824]","[0.09191733382083686, 0, 0.06618400773474331]",0.06925562809791593,"[26.01372196299163, 46.791552754664934, 173.336126862945]","[197.0790787556209, 433.4984345560444, 1459.5938620244735]","[35.0, 58.0, 232.0]","[547.0, 1173.0, 4049.0]"
